amount,transaction_hour,distance_from_home,transactions_last_24h,account_age_days,merchant_risk,device_change,is_fraud
54.419043286096446,23,11.406577819412496,4,952,0.27308790668283534,0,0
28.839203635119304,10,3.525681115899304,3,1569,0.7124111275817688,0,0
63.28754435219077,19,15.228103812359105,2,801,0.20551210481418247,0,0
151.87075398567382,10,61.175197902600765,3,1530,0.5436383620428413,0,0
26.20228511979821,19,25.937148089163145,4,2265,0.45818788293659307,0,0
26.202715306529004,11,1.435173047494073,5,2524,0.2685212092671766,0,0
160.6475468844781,17,7.706928522890052,4,946,0.7227981592987066,0,0
71.33839837948798,1,23.57868640791265,2,1907,0.04986278082915252,1,0
20.708114205460763,3,3.019697897141302,3,2697,0.6047255036214699,1,0
56.9720070937907,3,15.472046323339965,3,157,0.9565191799136651,0,0
20.833917489716484,20,15.798337470720682,3,2459,0.3929719233590332,0,0
20.7858038489209,13,1.8520255129698913,2,1911,0.2480813408484246,0,0
42.18067895648421,12,18.634577153878396,7,2198,0.9863917109436067,0,0
4.887689785459798,8,46.066278279259414,6,180,0.6634146986900471,0,0
5.900765967510795,14,21.09489324285847,2,991,0.2885006200031728,0,0
18.87262521430794,22,49.41580377439028,3,2707,0.15656021295419165,0,0
12.027177487802884,21,19.014946043669948,4,1582,0.033906905915778385,0,0
45.3426156274143,9,27.87039398559608,2,733,0.11731362760651798,0,0
13.35613626391453,4,44.62628424118333,4,2657,0.5466531898197351,0,0
8.066311371464124,3,12.44803395210913,6,562,0.36015376436967983,0,0
143.4015545728416,17,3.4391207459274793,5,1745,0.9709291578848611,0,0
26.42270555760026,3,2.5405814744234534,1,2500,0.08812874017740813,0,0
35.42891181297902,15,61.366295787657926,3,1037,0.031714695046608954,0,0
7.966552294174592,10,15.833927749104577,4,201,0.8892905452775349,0,0
19.213579131301895,6,22.98333559019313,4,2240,0.09815316643014593,0,0
37.000173051833436,0,18.92407563294736,0,520,0.8305518057328064,0,0
10.475156673332132,2,16.645278228908147,5,1079,0.17526416614069817,0,0
